Time,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
997,15.425702682317,8.92963024917909,5,9.91666666666666,8.00639100387348,29.1761853112365,20,0,32.0410933899484,0
997.5,15.4897195474996,8.95866988391092,5,9.95833333333333,8.04342980009156,29.2398270987,20,0,32.1466688970447,0
998,15.5539418848117,8.98742413441952,5,9.99999999999999,8.08059797810413,29.3029580103159,20,0,32.2512115820793,0
998.5,15.6183676655473,9.01589448306896,5,10.0416666666667,8.11789444614531,29.3655770898175,20,0,32.3547268839103,0
999,15.6829948713989,9.04408238503328,5,10.0833333333333,8.15531811812981,29.4276835156351,20,0,32.4572201390483,0
999.5,15.7478214942713,9.07198926948674,5,10.125,8.19286791353637,29.4892765970237,20,0,32.5586965861198,0
1000,15.8128455361047,9.09961654074705,5,10.1666666666667,8.23054275729635,29.5503557702914,20,0,32.6591613701523,0
1000.5,15.8780650087041,9.12696557937367,5,10.2083333333333,8.26834157968727,29.610920595123,20,0,32.7586195466894,0
1001,15.9434779335778,9.15403774322289,5,10.25,8.30626331623095,29.6709707509982,20,0,32.8570760857452,0
1001.5,16.0090823417819,9.18083436846214,5,10.2916666666667,8.34430690759631,29.7305060337016,20,0,32.9545358756024,0
1002,16.0748762737726,9.20735677054485,5,10.3333333333333,8.38247129950641,29.7895263519213,20,0,33.0510037264637,0
1002.5,16.1408577792644,9.23360624514789,5,10.375,8.42075544264982,29.8480317239342,20,0,33.1464843739615,0
1003,16.2070249170961,9.2595840690729,5,10.4166666666667,8.45915829259587,29.9060222743767,20,0,33.2409824825324,0
1003.5,16.2733757551012,9.28529150111356,5,10.4583333333333,8.49767880971394,29.9634982310959,20,0,33.3345026486625,0
1004,16.3399083699856,9.31072978288966,5,10.5,8.53631595909638,30.020459922083,20,0,33.4270494040088,0
1004.5,16.4066208472108,9.33590013964974,5,10.5416666666667,8.57506871048503,30.0769077724825,20,0,33.5186272184028,0
1005,16.4735112808821,9.36080378104369,5,10.5833333333333,8.61393603820124,30.1328423016789,20,0,33.6092405027391,0
1005.5,16.5405777736424,9.38544190186623,5,10.625,8.65291692107926,30.1882641204564,20,0,33.6988936117573,0
1006,16.6078184365715,9.40981568277269,5,10.6666666666667,8.69201034240272,30.2431739282312,20,0,33.7875908467184,0
